cnt,word
6118427,Standard
5806779,Zip9
5728937,AABB
5701143,Residential
3085875,Eastern
1765431,Central
850850,Pacific
407582,Mountain
157597,AAM3
143079,Zip5
138007,Zip8
127069,Commercial
120779,A1
58698,A1M1
58558,AAN1
42311,Unknown
38562,Zip7
27574,AACC
21419,Hawaii
21214,POBox
19678,AABBR7
12442,Alaska
11428,Zip6
4775,AABBR1
1946,AA
700,AACCR7
287,AAN1PB
236,AAN1R7
193,AABBPB
90,AAP3
43,Unique
41,AAP1
41,AAU1
15,AAN1R1
12,Rooftop
10,AABBRR
8,AAN1RR
6,AACCR1
3,AACCRR
2,AAG1
2,AAN1M1
1,AABBM1
1,AACCPB
1,Military
